x,y,z
42159.783599999995,0.0,0.0
39159.545913907335,15563.916302831512,266.91339861486153
30572.229294263998,28909.053085686883,496.9282225458236
17596.068412315853,38144.74031896195,671.3561839998463
2068.446366131935,41949.70644318934,775.6465535543562
-13789.170159828103,39792.93960392868,801.7860547184488
-27722.571413530375,32035.5170794245,750.1079450838081
-37816.04968950846,19856.07633532263,629.2941315800282
-42772.78888702021,5013.759418156536,454.2716373692
-42038.63633796615,-10458.485911669113,242.9826851830225
-35789.413114403214,-24531.84462828309,13.449504052272061
-24851.059004159124,-35389.85304169568,-217.87176753019781
-10607.492414252596,-41589.38803587051,-436.18348424453296
5103.262017226405,-42218.450422872156,-627.2053464507884
20152.724951488184,-37064.86077329943,-775.642083853261
32396.697219902868,-26740.354685994018,-864.6251103236577
40038.72047711203,-12660.265858015418,-877.4662887621485
41961.521495396,3172.3658098417163,-801.6916859414447
37904.07465315015,18508.696749226463,-633.6891235768983
28462.48175946974,31200.979466909837,-381.9755925770904
14974.530352042337,39488.317981286855,-68.15926038625099
-665.1393967022523,42222.207854886445,274.58951953351317
-16256.702681825895,39034.02845694584,605.5684972529756
-29615.187794505193,30408.423269524497,882.7143377206355
-38912.061876589294,17609.56079330986,1069.5255512677036
-42947.369358799544,2456.9757522082946,1140.6273637975723
-41277.20944509799,-12980.834536463517,1084.3707174298056
-34198.50783146807,-26676.310805831523,902.6521735200948
-22650.924513425623,-36861.285451681615,609.4182537074734
-8100.916604538492,-42183.48629513264,229.53027316195198
7577.450389646399,-41845.70729865973,-201.42303033688341
22263.381746114173,-35754.67250500469,-637.2278785885608
33851.3128188714,-24638.440603196377,-1023.3697329068968
40613.750501292954,-10028.91783746225,-1303.780168681666
41546.71732571818,5968.807267828588,-1431.2757163897181
36547.838454865254,21058.835650134297,-1377.7472223540692
26379.437989302685,33135.23222693586,-1140.0439745465396
12499.529632285248,40561.24886902465,-741.0301154226735
-3157.8339146817925,42349.99398901107,-227.00324311332776
-18429.32073281389,38279.661838583714,337.7029453697791
-31208.619201392245,28936.64920490179,879.1418245683071
-39754.43715734497,15646.081129680202,1324.7284944792536
-42951.12131159341,266.15910094783067,1614.4799328537124
-40445.738075782225,-15109.395445379545,1709.3368090040126
-32637.771869627635,-28452.417809485916,1594.6866385803366
-20570.051159577077,-38033.78516851783,1279.957975562798
-5787.546987944797,-42582.11206124049,796.602521611916
9802.453873510043,-41407.50372383766,196.31527803197088
24095.240685311008,-34526.27045077815,-450.8410399485713
35037.43072256722,-22764.96580850272,-1061.0640268360755
40977.19405158674,-7744.410458801254,-1547.3483615147939
41016.33488195436,8353.27509813444,-1835.4335225659102
35190.43779693244,23195.945220983405,-1878.9920076225048
24406.566012211184,34715.10603516816,-1667.585299107308
10225.269434416768,41384.70240137224,-1226.451911857826
-5391.379751424186,42363.00575871321,-611.5545226395346
-20323.59866012074,37557.63175017179,97.60534159662438
-32547.079597349453,27638.382070849653,807.4129248898745
-40404.418593568975,13970.53628427059,1422.4646471233075
-42851.58436379283,-1567.1091934712686,1859.6114469937413
-39606.03056147256,-16864.346119729064,2060.3189531143125
-31151.070814708386,-29887.954214731268,1997.8501557537668
-18622.767796325687,-38935.35910685757,1678.5685369686137
-3645.3005212933767,-42803.71182177599,1139.4247384451528
11836.12995419243,-40903.16493841682,444.32781996505616
25732.593682841518,-33355.47669551403,-319.96095808012257
36050.18634509397,-21074.90437073712,-1050.6987748522845
41220.18579892912,-5748.629444686398,-1642.3518202912105
40444.07110773096,10390.124641491126,-2006.08859081039
33877.14246646454,24985.063342217654,-2088.351165240884
22551.208818369603,35998.596453568476,-1879.7086694483892
8117.84875282402,41998.107801681625,-1412.3431518353143
-7435.577731433419,42269.359369443904,-751.6082470568806
-22031.104200438636,36836.06275056965,13.645022019760404
-33724.66635302878,26441.493196773634,781.1833027731423
-40940.462149271,12480.202296311196,1447.3912666017275
-42699.08981772263,-3160.424729132752,1921.390803855012
-38774.21505138474,-18360.823151416553,2138.726757156581
-29718.4525094857,-31079.872414131038,2070.6997716845312
-16754.081234527053,-39630.710565314526,1726.967732096758
-1588.5719237530247,-42868.89494492474,1152.6254205364758
13785.217254399318,-40301.46999971589,422.51219719817266
27287.972151084407,-32159.181566588297,-365.5885017249352
36988.860601745844,-19444.454268193207,-1100.315068219687
41411.551471249295,-3897.6591613362325,-1671.7781560989597
39857.63910810591,12220.434099241254,-1992.3561147854562
32589.831997065812,26545.677951108348,-2016.0853805895954
20749.33037637145,37068.32729961905,-1746.4875409902827
6073.570305840683,42433.903955308575,-1230.7600395963623
-9419.64064611293,42040.79206572803,-547.0348294438052
-23684.907541380013,36022.641329932434,208.34468746478817
-34853.148598829204,25196.790575130697,931.9381285615453
-41431.50448549171,10988.38705838269,1524.3992521083524
-42507.560394883505,-4710.385693828073,1903.0407859158154
-37909.833131661486,-19776.730674351144,2014.3596811306675
-28254.11501237141,-32163.61376154508,1842.8766818264219
-14846.906760906846,-40196.464607386304,1413.3130795451627
515.6620338169378,-42785.84602652985,786.2014984159522
15782.417711334569,-39539.90384526955,49.63764962601485
28876.608437971405,-30810.17523054432,-690.6298769743593
37934.52134915001,-17699.004373632335,-1323.1531051927157
41584.875682594145,-1998.0255416283726,-1746.993703086419
39239.47880865723,14023.868842031443,-1891.949934726246
31263.898035294154,28016.43266438171,-1735.9340739305771
18899.092514066622,38004.61976250635,-1309.608362490863
3965.9483082145125,42704.337004184345,-685.9268264272796
-11477.801959939825,41618.261314269665,37.50561994276367
-25406.495241497658,34990.678973722206,754.6937099664001
-36019.45212309803,23723.055735121874,1363.7174130823353
-41911.57482186632,9282.422394562127,1777.3654604938897
-42250.317909049685,-6430.164164163532,1933.8170483203835
-36930.42498195417,-21294.122380334982,1806.623502457632
-26636.74707157584,-33265.45271500264,1410.7471363134828
-12762.426684949398,-40688.91987264548,801.558023741933
2802.4833930086597,-42537.19665037358,66.69723102842889
17941.637165549106,-38531.736654174405,-686.2912926690606
30578.091498718924,-29163.88908208536,-1343.5415441256544
38923.06223633021,-15654.865859909556,-1799.1575226514947
41728.82606532697,145.5679117677273,-1971.5843306622278
38535.05453458503,15974.683733767735,-1821.5404068696641
29815.28395664642,29523.097426519478,-1365.3372575400476
16903.012506847575,38869.89269401922,-674.4368804701651
1698.9672149428725,42805.789426675685,140.80722662494824
-13692.407765002172,40937.31349201004,954.5692184495656
-27253.59810556437,33625.43347585798,1645.9153447777567
-37247.07625574107,21870.462612308198,2112.9824009673594
-42363.186669286784,7197.727768403678,2283.356657307684
-41868.32025075025,-8474.867623147962,2123.1944956474667
-35744.82862058163,-23034.559014691815,1644.5878924268263
-24760.648029119948,-34455.95717447756,907.7217029745507
-10401.48592509958,-41120.96862778538,14.445771976055752
5347.006172180871,-42081.225179236986,-906.6353573603642
20303.179687004427,-37190.16732687694,-1719.2999393727343
32394.668139893744,-27100.438511803248,-2298.295392415039
39921.09972136127,-13172.83751197141,-2545.6204514991746
41780.476114582554,2674.819007213391,-2405.5590687734407
37663.7884094872,18196.04348707773,-1878.557258603898
28162.949257181208,31151.00174371772,-1029.0383074051913
14698.262109135856,39703.09614366304,20.77594389745903
-760.0919717251963,42734.74056750763,1113.3503098926565
-16062.89039723726,39963.198821028534,2085.7733805166486
-29196.166929880652,31874.24984136082,2795.248866876821
-38483.856127656334,19580.843167951916,3135.576323481542
-42720.91382019212,4681.301798934197,3047.4651555820083
