x,y,z
859.07256,-4137.20368,5295.56871
1671.2596050517213,-3873.0605224223905,5302.409084467055
2457.156020554998,-3547.364854446423,5225.088409304072
3204.297556036902,-3165.2936083485315,5064.846665835407
3900.8464394813927,-2732.918802140543,4824.244828733357
4535.782326152594,-2257.109425899044,4507.123353735868
5099.08015241748,-1745.4198659298065,4118.539336365497
5581.871652032365,-1205.9667147572054,3664.6832643853068
5976.587552158174,-647.2960824980057,3152.7767104679156
6277.077806022487,-78.24374976531664,2590.9527155958654
6478.707635772425,492.2093235537918,1988.1209880420251
6578.427640460632,1055.0835044223672,1353.8203718537316
6574.816756512222,1601.5463286831346,698.0613101714653
6468.09742607668,2123.055017960716,31.161233198590537
6260.122907522992,2611.49309524654,-636.4240706594571
5954.337248646004,3059.2986741379173,-1294.2699897088446
5555.708994498455,3459.582205075624,-1932.1504493101065
5070.640224645521,3806.231723360469,-2540.2001220412567
4506.8529723543015,4094.0039427879005,-3109.0686880615435
3873.2554785725906,4318.599871741695,-3630.064585513778
3179.7910476152756,4476.723974588182,-4095.285980149641
2437.2725094678353,4566.126255029162,-4497.737012332463
1657.2054476547676,4585.626986294512,-4831.42773524392
851.6034228969651,4535.124144174725,-5091.4565262395445
32.7984200810979,4415.583907318382,-5274.074123673382
-786.7503263622293,4229.014864277916,-5376.728799675051
-1594.6461021466507,3978.4268111054766,-5398.0925230547755
-2378.74023034366,3667.775224772647,-5338.068278956814
-3127.310702761369,3301.8926658943296,-5197.778998497926
-3829.2315322271775,2886.4084898768365,-4979.538797586438
-4474.130690002023,2427.6583433905384,-4686.8074436365605
-5052.534755639022,1932.5849825728806,-4324.129144808646
-5555.998670343479,1408.6319862710689,-3897.056905521118
-5977.219242871379,863.6319503052549,-3412.0638097869823
-6310.131304892084,305.69074268243946,-2876.4426853026616
-6549.98564971907,-256.930619973695,-2298.195671949541
-6693.408108498957,-815.9349455998308,-1685.9152687431947
-6738.439333094399,-1363.1071975630575,-1048.6584742402615
-6684.555050757756,-1890.4307355965514,-395.81566030633036
-6532.666749211916,-2390.2000661124666,263.02416006576516
-6285.102935373839,-2855.1287518514687,918.2099973938043
-5945.571294173858,-3278.451185142785,1560.1658014507007
-5519.102257356773,-3654.0169881618704,2179.5259445702163
-5011.974673832564,-3976.3768665755656,2767.2675921265045
-4431.624467493583,-4240.858817981679,3314.838292304282
-3786.537357966602,-4443.633677806831,3814.2771391606725
-3086.1269191220626,-4581.7690808095795,4258.327897998522
-2340.5994532961413,-4653.271028549004,4640.542535618124
-1560.8073584467675,-4657.1123788665645,4955.37366923451
-758.0928649666954,-4593.247721084314,5198.254545276755
55.87579364649969,-4462.614263091216,5365.665279236826
869.2735369840158,-4267.1185429527195,5455.184241348998
1670.2905312000225,-4009.6089762957354,5465.523650904042
2447.304707340139,-3693.8344666010357,5396.548651620218
3189.0521068764183,-3324.3895336329783,5249.279379708131
3884.7924150325944,-2906.6466465922827,5025.8757966697185
4524.467050930418,-2446.676683564437,4729.605343600282
5098.847244378793,-1951.1586646001533,4364.79376827207
5599.66965057923,-1427.280122098817,3936.759783630383
6019.757230209777,-882.6296644723786,3451.7345166913487
6353.123355585622,-325.08345594263085,2916.7669994339853
6595.057392012764,237.3125312022446,2339.617227840621
6742.190333735199,796.4625428357863,1728.63855767267
6792.539446280297,1344.341347752736,1092.6514146688098
6745.531261514859,1873.1128162558603,440.8104594916217
6602.002688930988,2375.2448095001673,-217.53253612203616
6364.180421543671,2843.6185035830354,-872.967784744972
6035.639220555259,3271.6304003954056,-1516.1662247797947
5621.240054883148,3653.285445370981,-2138.0156280932265
5127.049423115339,3983.279870411161,-2729.751891163938
4560.241497997258,4257.0726023685,-3283.0834687471493
3928.985004373876,4470.944321083025,-3790.307093011174
