x,y,z
859.0725599999996,-4137.2036800000005,5295.56871
1671.1414192046582,-3873.0972463211374,5302.406037931228
2456.6894327362,-3547.522885799086,5225.092005795599
3203.26582780017,-3165.6708344811627,5064.887886502803
3899.049625691116,-2733.6209531815784,4824.370726554698
4533.036789082744,-2258.2443328945164,4507.389985002523
5095.21363130585,-1747.0926026006748,4119.003982006844
5576.713796188009,-1208.2768114582145,3665.397327727047
5969.956424272637,-650.3378998603009,3153.780795116417
6268.763459541833,-82.11087845638781,2592.275360054183
6468.454412289117,487.41509882631567,1989.7823562248316
6565.917270920782,1049.2385514304972,1355.8418784666956
6559.654641072522,1594.4871667941095,700.4817161666551
6449.804578018242,2114.5567986108235,34.05920775565437
6238.135962178326,2601.2458618687247,-632.9015207436528
5928.018642667148,3046.883112671438,-1289.8744345079913
5524.368936117204,3444.446920271863,-1926.4960862961757
5033.571414088176,3787.6742799962817,-2532.72726212259
4463.378239475939,4071.157976217167,-3099.009369940711
3822.7876182703376,4290.430481866662,-3616.413255678989
3121.903215951259,4442.033373021949,-4076.7782483501423
2371.776646180424,4523.571241912977,-4472.839378412208
1584.2353717589594,4533.749307562891,-4798.340879602486
771.6985625680586,4472.394148556063,-5048.134272759927
-53.01636924879858,4340.457215567614,-5218.259539469845
-876.8936921063032,4140.001020665407,-5306.008122503056
-1686.9227596543478,3874.1681442539966,-5309.9667376969455
-2470.3018451571706,3547.1334468815285,-5230.041246662679
-3214.6393152197506,3164.040119674488,-5067.460119711506
-3908.149054588857,2730.9204512284346,-4824.757311457299
-4539.837098504716,2254.602427281706,-4505.734674928568
-5099.676518607868,1742.6035089367733,-4115.4043503646835
-5578.767744364624,1203.0131516875567,-3659.9118781854795
-5969.481685337292,644.3658268608012,-3146.441097269272
-6265.583250481833,75.50648487234821,-2583.102194403079
-6462.333138021324,-494.549448553958,-1978.8045628140846
-6556.566091096829,-1056.7593307489494,-1343.1164009091174
-6546.74417676831,-1602.1975158279938,-686.1132303970248
-6432.984044052092,-2122.198175986585,-18.217729531056648
-6217.057544173318,-2608.4943750771777,649.9665437587182
-5902.365545416569,-3053.3510748583103,1307.8248280789207
-5493.885237075772,-3449.6898341469014,1944.9014351182814
-4998.09168234089,-3791.2030849483526,2551.067790669789
-4422.854838227635,-4072.4560360724545,3116.685421240968
-3777.313701332448,-4288.974461084248,3632.7611391139385
-3071.729650898764,-4437.316869773162,4091.0918046929373
-2317.321435573064,-4515.129835606897,4484.396223053379
-1526.0845783915256,-4521.185549853041,4806.431958128674
-710.5982483195007,-4455.400989422513,5052.095117865958
116.17714003078072,-4318.838412720875,5217.501470641837
941.108188378611,-4113.687228346633,5300.047589947086
1751.0991470501472,-3843.227607846464,5298.451082804675
2533.3014125933205,-3511.776528727698,5212.769329154027
3275.3184385285304,-3124.617230897133,5044.396536005697
3965.4027229547514,-2687.9133427669985,4796.039283259519
4592.6417111405435,-2208.6091775021914,4471.671099905902
5147.129678182042,-1694.3179113795827,4076.4669528619056
5620.122929404288,-1153.1995321900845,3616.718849832837
6004.175966886243,-593.8305843356245,3099.7340473022464
